cartridge,bullet_diameter,bullet_type,bullet_weight,powder_type,burn_rate_index,charge_weight,velocity_fps,barrel_length,twist_rate,coal,compressed_load
260_rem,0.264,fmjbt,144,vihtavuori_n560,147,39.5,2579,24.75,9,2.795,no
260_rem,0.264,fmjbt,144,vihtavuori_n565,156,41.7,2415,24.75,9,2.795,no
260_rem,0.264,maxrange_target_gb582,144,vihtavuori_n140,112,31.6,2287,24.75,9,2.795,no
260_rem,0.264,maxrange_target_gb582,144,vihtavuori_n540,117,32.4,2320,24.75,9,2.795,no
260_rem,0.264,maxrange_target_gb582,144,vihtavuori_n150,124,31.6,2287,24.75,9,2.795,no
260_rem,0.264,maxrange_target_gb582,144,vihtavuori_n550,129,36.7,2405,24.75,9,2.795,no
260_rem,0.264,maxrange_target_gb582,144,vihtavuori_n555,144,40.1,2467,24.75,9,2.795,no
260_rem,0.264,maxrange_target_gb582,144,vihtavuori_n160,143,40.1,2421,24.75,9,2.795,no
260_rem,0.264,maxrange_target_gb582,144,vihtavuori_n560,147,42.4,2467,24.75,9,2.795,no
260_rem,0.264,long_range_hybrid_target,153.5,vihtavuori_n540,117,32.7,2267,24.75,9,2.795,no
260_rem,0.264,long_range_hybrid_target,153.5,vihtavuori_n150,124,30.9,2178,24.75,9,2.795,no
260_rem,0.264,long_range_hybrid_target,153.5,vihtavuori_n550,129,35.5,2320,24.75,9,2.795,no
260_rem,0.264,long_range_hybrid_target,153.5,vihtavuori_n555,144,40.1,2408,24.75,9,2.795,no
260_rem,0.264,long_range_hybrid_target,153.5,vihtavuori_n160,143,40.1,2329,24.75,9,2.795,no
260_rem,0.264,long_range_hybrid_target,153.5,vihtavuori_n560,147,42.4,2326,24.75,9,2.795,no
260_rem,0.264,mega,155,vihtavuori_n160,143,33,2134,24.75,9,2.736,no
260_rem,0.264,mega,155,vihtavuori_n165,153,38.8,2208,24.75,9,2.736,no
260_rem,0.264,mega,155,vihtavuori_n560,147,36.6,2137,24.75,9,2.736,no
260_rem,0.264,tnt,90,vihtavuori_n140,112,43.4,3268,24.75,9,2.598,no
260_rem,0.264,tnt,90,vihtavuori_n540,117,44.8,3337,24.75,9,2.598,no
260_rem,0.264,tnt,90,vihtavuori_n150,124,43.8,3304,24.75,9,2.598,no
260_rem,0.264,tnt,90,vihtavuori_n550,129,46.8,3383,24.75,9,2.598,no
260_rem,0.264,classic_hunter,100,vihtavuori_n140,112,40.9,3012,24.75,9,2.795,no
260_rem,0.264,classic_hunter,100,vihtavuori_n540,117,43.1,3156,24.75,9,2.795,no
260_rem,0.264,classic_hunter,100,vihtavuori_n150,124,41.5,3035,24.75,9,2.795,no
260_rem,0.264,eld_vt,100,vihtavuori_n140,112,41.4,3084,24.75,9,2.795,no
260_rem,0.264,eld_vt,100,vihtavuori_n540,117,41.1,3120,24.75,9,2.795,no
260_rem,0.264,eld_vt,100,vihtavuori_n150,124,41.4,3071,24.75,9,2.795,no
260_rem,0.264,eld_vt,100,vihtavuori_n550,129,44.3,3156,24.75,9,2.795,no
260_rem,0.264,fmj,100,vihtavuori_n140,112,37.7,2828,24.75,9,2.598,no
260_rem,0.264,fmj,100,vihtavuori_n540,117,40.6,2923,24.75,9,2.598,no
260_rem,0.264,fmj,100,vihtavuori_n150,124,38.7,2825,24.75,9,2.598,no
260_rem,0.264,scenar,100,vihtavuori_n140,112,40.4,2966,24.75,9,2.717,no
260_rem,0.264,scenar,100,vihtavuori_n540,117,42.9,3054,24.75,9,2.717,no
260_rem,0.264,scenar,100,vihtavuori_n150,124,41.7,2966,24.75,9,2.717,no
260_rem,0.264,HPFB,100,vihtavuori_n140,112,39.9,2973,24.75,9,2.657,no
260_rem,0.264,HPFB,100,vihtavuori_n540,117,41.2,2992,24.75,9,2.657,no
260_rem,0.264,HPFB,100,vihtavuori_n150,124,40.3,2926,24.75,9,2.657,no
260_rem,0.264,scenar,108,vihtavuori_n540,117,39.9,2876,24.75,9,2.795,no
